date,year,month,day,eclipse_type,eclipse_category
1990-01-26,1990,1,26,Annular,Solar
1990-02-09,1990,2,9,T,Lunar
1990-07-22,1990,7,22,Total,Solar
1990-08-06,1990,8,6,P,Lunar
1991-01-15,1991,1,15,Annular,Solar
1991-01-30,1991,1,30,N,Lunar
1991-06-27,1991,6,27,N,Lunar
1991-07-11,1991,7,11,Total,Solar
1991-07-26,1991,7,26,N,Lunar
1991-12-21,1991,12,21,N,Lunar
1992-01-04,1992,1,4,Annular,Solar
1992-06-15,1992,6,15,P,Lunar
1992-06-30,1992,6,30,Total,Solar
1992-12-10,1992,12,10,T,Lunar
1992-12-24,1992,12,24,Partial,Solar
1993-05-21,1993,5,21,Partial,Solar
1993-06-04,1993,6,4,T,Lunar
1993-11-13,1993,11,13,Partial,Solar
1993-11-29,1993,11,29,T,Lunar
1994-05-10,1994,5,10,Annular,Solar
1994-05-25,1994,5,25,P,Lunar
1994-11-03,1994,11,3,Total,Solar
1994-11-18,1994,11,18,N,Lunar
1995-04-15,1995,4,15,P,Lunar
1995-04-29,1995,4,29,Annular,Solar
1995-10-08,1995,10,8,N,Lunar
1995-10-24,1995,10,24,Total,Solar
1996-04-04,1996,4,4,T,Lunar
1996-04-17,1996,4,17,Partial,Solar
1996-09-27,1996,9,27,T,Lunar
1996-10-12,1996,10,12,Partial,Solar
1997-03-09,1997,3,9,Total,Solar
1997-03-24,1997,3,24,P,Lunar
1997-09-02,1997,9,2,Partial,Solar
1997-09-16,1997,9,16,T,Lunar
1998-02-26,1998,2,26,Total,Solar
1998-03-13,1998,3,13,N,Lunar
1998-08-08,1998,8,8,N,Lunar
1998-08-22,1998,8,22,Annular,Solar
1998-09-06,1998,9,6,N,Lunar
1999-01-31,1999,1,31,N,Lunar
1999-02-16,1999,2,16,Annular,Solar
1999-07-28,1999,7,28,P,Lunar
1999-08-11,1999,8,11,Total,Solar
2000-01-21,2000,1,21,T,Lunar
2000-02-05,2000,2,5,Partial,Solar
2000-07-01,2000,7,1,Partial,Solar
2000-07-16,2000,7,16,T,Lunar
2000-07-31,2000,7,31,Partial,Solar
2000-12-25,2000,12,25,Partial,Solar
2001-01-09,2001,1,9,T,Lunar
2001-06-21,2001,6,21,Total,Solar
2001-07-05,2001,7,5,P,Lunar
2001-12-14,2001,12,14,Annular,Solar
2001-12-30,2001,12,30,N,Lunar
2002-05-26,2002,5,26,N,Lunar
2002-06-10,2002,6,10,Annular,Solar
2002-06-24,2002,6,24,N,Lunar
2002-11-20,2002,11,20,N,Lunar
2002-12-04,2002,12,4,Total,Solar
2003-05-16,2003,5,16,T,Lunar
2003-05-31,2003,5,31,Annular,Solar
2003-11-09,2003,11,9,T,Lunar
2003-11-23,2003,11,23,Total,Solar
2004-04-19,2004,4,19,Partial,Solar
2004-05-04,2004,5,4,T,Lunar
2004-10-14,2004,10,14,Partial,Solar
2004-10-28,2004,10,28,T,Lunar
2005-04-08,2005,4,8,Hybrid,Solar
2005-04-24,2005,4,24,N,Lunar
2005-10-03,2005,10,3,Annular,Solar
2005-10-17,2005,10,17,P,Lunar
2006-03-14,2006,3,14,N,Lunar
2006-03-29,2006,3,29,Total,Solar
2006-09-07,2006,9,7,P,Lunar
2006-09-22,2006,9,22,Annular,Solar
2007-03-03,2007,3,3,T,Lunar
2007-03-19,2007,3,19,Partial,Solar
2007-08-28,2007,8,28,T,Lunar
2007-09-11,2007,9,11,Partial,Solar
2008-02-07,2008,2,7,Annular,Solar
2008-02-21,2008,2,21,T,Lunar
2008-08-01,2008,8,1,Total,Solar
2008-08-16,2008,8,16,P,Lunar
2009-01-26,2009,1,26,Annular,Solar
2009-02-09,2009,2,9,N,Lunar
2009-07-07,2009,7,7,N,Lunar
2009-07-22,2009,7,22,Total,Solar
2009-08-06,2009,8,6,N,Lunar
2009-12-31,2009,12,31,P,Lunar
2010-01-15,2010,1,15,Annular,Solar
2010-06-26,2010,6,26,P,Lunar
2010-07-11,2010,7,11,Total,Solar
2010-12-21,2010,12,21,T,Lunar
2011-01-04,2011,1,4,Partial,Solar
2011-06-01,2011,6,1,Partial,Solar
2011-06-15,2011,6,15,T,Lunar
2011-07-01,2011,7,1,Partial,Solar
2011-11-25,2011,11,25,Partial,Solar
2011-12-10,2011,12,10,T,Lunar
2012-05-20,2012,5,20,Annular,Solar
2012-06-04,2012,6,4,P,Lunar
2012-11-13,2012,11,13,Total,Solar
2012-11-28,2012,11,28,N,Lunar
2013-04-25,2013,4,25,P,Lunar
2013-05-10,2013,5,10,Annular,Solar
2013-05-25,2013,5,25,N,Lunar
2013-10-18,2013,10,18,N,Lunar
2013-11-03,2013,11,3,Hybrid,Solar
2014-04-15,2014,4,15,T,Lunar
2014-04-29,2014,4,29,Annular,Solar
2014-10-08,2014,10,8,T,Lunar
2014-10-23,2014,10,23,Partial,Solar
2015-03-20,2015,3,20,Total,Solar
2015-04-04,2015,4,4,T,Lunar
2015-09-13,2015,9,13,Partial,Solar
2015-09-28,2015,9,28,T,Lunar
2016-03-09,2016,3,9,Total,Solar
2016-03-23,2016,3,23,N,Lunar
2016-09-01,2016,9,1,Annular,Solar
2016-09-16,2016,9,16,N,Lunar
2017-02-11,2017,2,11,N,Lunar
2017-02-26,2017,2,26,Annular,Solar
2017-08-07,2017,8,7,P,Lunar
2017-08-21,2017,8,21,Total,Solar
2018-01-31,2018,1,31,T,Lunar
2018-02-15,2018,2,15,Partial,Solar
2018-07-13,2018,7,13,Partial,Solar
2018-07-27,2018,7,27,T,Lunar
2018-08-11,2018,8,11,Partial,Solar
2019-01-06,2019,1,6,Partial,Solar
2019-01-21,2019,1,21,T,Lunar
2019-07-02,2019,7,2,Total,Solar
2019-07-16,2019,7,16,P,Lunar
2019-12-26,2019,12,26,Annular,Solar
2020-01-10,2020,1,10,N,Lunar
2020-06-05,2020,6,5,N,Lunar
2020-06-21,2020,6,21,Annular,Solar
2020-07-05,2020,7,5,N,Lunar
2020-11-30,2020,11,30,N,Lunar
2020-12-14,2020,12,14,Total,Solar
2021-05-26,2021,5,26,T,Lunar
2021-06-10,2021,6,10,Annular,Solar
2021-11-19,2021,11,19,P,Lunar
2021-12-04,2021,12,4,Total,Solar
2022-04-30,2022,4,30,Partial,Solar
2022-05-16,2022,5,16,T,Lunar
2022-10-25,2022,10,25,Partial,Solar
2022-11-08,2022,11,8,T,Lunar
2023-04-20,2023,4,20,Hybrid,Solar
2023-05-05,2023,5,5,N,Lunar
2023-10-14,2023,10,14,Annular,Solar
2023-10-28,2023,10,28,P,Lunar
2024-03-25,2024,3,25,N,Lunar
2024-04-08,2024,4,8,Total,Solar
2024-09-18,2024,9,18,P,Lunar
2024-10-02,2024,10,2,Annular,Solar
2025-03-14,2025,3,14,T,Lunar
2025-03-29,2025,3,29,Partial,Solar
2025-09-07,2025,9,7,T,Lunar
2025-09-21,2025,9,21,Partial,Solar
