date,latitude,longitude,depth,magnitude,magnitude_type,MD,ML,Mw,Ms,location,provider
2025-11-20T21:03:22,38.6147,30.5735,8.2,1.5,ML,,1.5,,,BELKARACAOREN-(AFYONKARAHISAR),KOERI
2025-11-20T20:48:24,40.7488,36.5578,6.1,1.3,ML,,1.3,,,KALEKOY-ERBAA (TOKAT),KOERI
2025-11-20T20:41:39,39.2023,28.1178,18.7,1.1,ML,,1.1,,,KERTIL-SINDIRGI (BALIKESIR),KOERI
2025-11-20T20:38:32,38.3165,27.8133,13.1,1.9,ML,,1.9,,,KIZILKECILI-BAYINDIR (IZMIR),KOERI
2025-11-20T20:20:38,39.2135,28.1403,7.6,1.4,ML,,1.4,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T20:02:45,39.2285,28.1068,9.9,1.8,ML,,1.8,,,BAYIRLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T19:55:45,40.582,27.4225,15.3,1.5,ML,,1.5,,,EKINLIK-MARMARA (BALIKESIR),KOERI
2025-11-20T19:51:55,40.5605,27.4282,17.8,1.5,ML,,1.5,,,EKINLIK-MARMARA (BALIKESIR),KOERI
2025-11-20T19:39:52,39.1508,28.2865,8.9,1.7,ML,,1.7,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-20T19:18:32,39.1822,28.306,5.1,1.6,ML,,1.6,,,BUYUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-20T18:57:46,39.1877,28.173,14.4,1.6,ML,,1.6,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-20T18:11:43,39.2257,28.1488,6.3,2.1,ML,,2.1,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T18:02:03,36.1863,36.138,6.6,1.9,ML,,1.9,,,TURUNCLU-(HATAY),KOERI
2025-11-20T17:45:29,39.2275,28.1035,9.5,1.5,ML,,1.5,,,BAYIRLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T17:00:36,34.7935,32.591,14.2,2.8,ML,,2.8,,,KIBRIS RUM KESIMI,KOERI
2025-11-20T16:56:08,39.1762,28.2907,11.5,2.0,ML,,2.0,,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T16:45:52,38.9397,28.302,9.6,1.2,ML,,1.2,,,GORDES (MANISA),KOERI
2025-11-20T16:36:45,39.3627,28.0862,2.3,2.2,ML,,2.2,,,YURUCEKLER-BIGADIC (BALIKESIR),KOERI
2025-11-20T16:16:15,39.1405,28.1043,26.7,0.9,ML,,0.9,,,SINANDEDE-SINDIRGI (BALIKESIR),KOERI
2025-11-20T16:15:20,39.1438,28.2667,18.6,1.3,ML,,1.3,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T16:14:15,39.1835,28.2583,13.3,2.2,ML,,2.2,,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T16:11:17,38.6542,28.773,26.8,1.5,ML,,1.5,,,SEHITLIOGLU-KULA (MANISA),KOERI
2025-11-20T16:09:10,39.2115,28.1473,9.3,2.1,ML,,2.1,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T15:59:45,35.8158,29.7983,8.2,2.5,ML,,2.5,,,AKDENIZ,KOERI
2025-11-20T15:43:52,39.2382,28.1428,6.7,1.8,ML,,1.8,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T15:32:29,39.1008,28.0227,14.7,1.5,ML,,1.5,,,SAGRAKCI-AKHISAR (MANISA),KOERI
2025-11-20T15:27:36,39.1725,28.2248,10.8,2.8,ML,,2.8,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T15:22:13,39.1872,28.1248,12.0,1.3,ML,,1.3,,,ORMANICI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T14:42:38,39.214,28.1245,7.7,1.8,ML,,1.8,,,BAYIRLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T14:37:11,39.0667,28.1548,21.8,1.2,ML,,1.2,,,HANPASA-AKHISAR (MANISA),KOERI
2025-11-20T14:23:26,36.5618,34.5245,29.6,3.5,ML,,3.5,3.3,,MERSIN ACIKLARI-MERSIN (AKDENIZ),KOERI
2025-11-20T14:09:50,39.0882,28.1282,19.2,0.8,ML,,0.8,,,HANPASA-AKHISAR (MANISA),KOERI
2025-11-20T13:58:44,38.2473,28.0873,23.8,1.3,ML,,1.3,,,UCKONAK-ODEMIS (IZMIR),KOERI
2025-11-20T13:49:39,39.2477,29.0403,5.0,1.2,ML,,1.2,,,KATRANDAGI-EMET (KUTAHYA),KOERI
2025-11-20T13:37:59,37.117,36.6152,6.3,2.4,ML,,2.4,,,KUSCUMUSTAFA-ISLAHIYE (GAZIANTEP),KOERI
2025-11-20T13:36:25,39.0297,28.244,12.2,1.5,ML,,1.5,,,BEGEL-GORDES (MANISA),KOERI
2025-11-20T13:34:54,37.1307,36.7282,7.5,2.1,ML,,2.1,,,KARABURCLU-NURDAGI (GAZIANTEP),KOERI
2025-11-20T13:32:38,39.0723,28.3197,17.3,1.4,ML,,1.4,,,MALAZ-GORDES (MANISA),KOERI
2025-11-20T13:30:56,39.1965,28.293,14.8,1.5,ML,,1.5,,,ASLANDEDE-SINDIRGI (BALIKESIR),KOERI
2025-11-20T13:22:16,39.2227,28.1303,10.5,2.3,ML,,2.3,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T13:16:54,39.2105,27.9605,7.5,2.0,ML,,2.0,,,HACET-KIRKAGAC (MANISA),KOERI
2025-11-20T12:57:20,39.1667,28.3058,12.8,1.3,ML,,1.3,,,KUCUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-20T12:56:54,39.1963,28.1572,16.0,1.6,ML,,1.6,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-20T12:46:14,39.1718,28.3062,16.7,1.8,ML,,1.8,,,KUCUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-20T12:32:30,37.112,36.6555,5.0,3.1,ML,,3.1,3.0,,FEVZIPASA-ISLAHIYE (GAZIANTEP),KOERI
2025-11-20T12:29:41,37.153,36.696,7.1,1.9,ML,,1.9,,,KARABURCLU-NURDAGI (GAZIANTEP),KOERI
2025-11-20T12:27:24,37.2097,36.5223,5.4,1.8,ML,,1.8,,,ORENCIK-BAHCE (OSMANIYE),KOERI
2025-11-20T12:25:05,39.1698,28.2925,13.2,1.3,ML,,1.3,,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T12:21:25,39.0747,28.3002,10.7,1.5,ML,,1.5,,,MALAZ-GORDES (MANISA),KOERI
2025-11-20T12:19:00,37.084,36.6787,7.5,3.5,ML,,3.5,3.4,,ZINCIRLI-ISLAHIYE (GAZIANTEP),KOERI
2025-11-20T12:14:31,39.1798,28.2887,11.2,3.0,ML,,3.0,2.8,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
