Calendar Date,TD of Greatest Eclipse,Eclipse Type,Saros Series,Eclipse Magn.,Central Duration,Geographic Region of Eclipse Visibility
1981 Feb 04,22:09:24,Annular,140,0.994,00m33s,"Australia, New Zealand, Antarctica, w South America [Annular: Tasmania, New Zealand, s Pacific]"
1981 Jul 31,03:46:37,Total,145,1.026,02m02s,"e Europe, Asia, Alaska, nw Canada [Total: Kazakhstan, Russia, n Pacific]"
1982 Jan 25,04:42:53,Partial,150,0.566,-,"New Zealand, Antarctica"
1982 Jun 21,12:04:33,Partial,117,0.617,-,"s Atlantic, s Africa"
1982 Jul 20,18:44:44,Partial,155,0.464,-,"ne Asia, n North America, nw Europe"
1982 Dec 15,09:32:09,Partial,122,0.735,-,"Europe, ne Africa, c Asia"
1983 Jun 11,04:43:34,Total,127,1.052,05m11s,"se Asia, East Indies, Australia [Total: Indonesia, Papua New Guinea]"
1983 Dec 04,12:31:15,Annular,132,0.967,04m01s,"ns South America, Africa, s Europe [Annular: Gabon, Congo, D. R. Congo, Uganda, Kenya, Ethiopia, Somalia]"
1984 May 30,16:45:42,Annular,137,0.998,00m11s,"N. & C. America, Europe, nw Africa [Annular: Mexico, se US, Morocco, Algeria]"
1984 Nov 22,22:54:17,Total,142,1.024,02m00s,"East Indies, Australia, New Zealand, Antarctica [Total: Papua New Guinea, s Pacific]"
1985 May 19,21:29:38,Partial,147,0.841,-,"ne Asia, n North America"
1985 Nov 12,14:11:27,Total,152,1.039,01m59s,"s South America, Antarctica [Total: s Pacific, Antarctica]"
1986 Apr 09,06:21:22,Partial,119,0.824,-,"East Indies, Australia, Antarctica"
1986 Oct 03,19:06:15,Hybrid,124,1.0,00m00s,"N. & C. America, n South America [Hybrid: n Atlantic]"
1987 Mar 29,12:49:47,Hybrid,129,1.001,00m08s,"s South America, Africa, Mid East [Hybrid: Argentina, Gabon, Cameroon, C. A. Rep., Sudan, Ethiopia, Somalia]"
1987 Sep 23,03:12:22,Annular,134,0.963,03m49s,"Asia, East Indies, Australia [Annular: Kazakhstan, Russia, Mongolia, China]"
1988 Mar 18,01:58:56,Total,139,1.046,03m46s,"e Asia, East Indies, Australia, Alaska [Total: Malaysia, Indonesia, Philippines, Pacific]"
1988 Sep 11,04:44:29,Annular,144,0.938,06m57s,"e Africa, s Asia, Australia [Annular: Indian Ocean]"
1989 Mar 07,18:08:41,Partial,149,0.827,-,w North America
1989 Aug 31,05:31:47,Partial,154,0.634,-,"s Africa, Antarctica"
1990 Jan 26,19:31:24,Annular,121,0.967,02m03s,"s South America, Antarctica [Annular: Antarctica]"
1990 Jul 22,03:03:07,Total,126,1.039,02m33s,"n & c Asia, nw North America [Total: Finland, n Russia, n Pacific]"
1991 Jan 15,23:53:51,Annular,131,0.929,07m53s,"Australia, New Zealand, Antarctica, s Pacific [Annular: sw Australia, Tasmania, New Zealand, s Pacific]"
1991 Jul 11,19:07:01,Total,136,1.08,06m53s,"e Pacific, N. & South America [Total: Hawaii, Mexico, C. America, Colombia, Brazil]"
