date,pressure_hpa,pressure_change_hpa,year,month,day,day_of_year,location,lat,lon,elevation_m,data_type
1990-01-01,908.0,7.3,1990,1,1,1,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-02,904.9,-3.2,1990,1,2,2,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-03,888.9,-15.9,1990,1,3,3,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-04,909.4,20.5,1990,1,4,4,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-05,902.8,-6.7,1990,1,5,5,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-06,901.0,-1.7,1990,1,6,6,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-07,903.5,2.5,1990,1,7,7,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-08,901.9,-1.6,1990,1,8,8,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-09,899.3,-2.6,1990,1,9,9,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-10,907.6,8.3,1990,1,10,10,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-11,902.7,-5.0,1990,1,11,11,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-12,904.2,1.5,1990,1,12,12,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-13,909.8,5.6,1990,1,13,13,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-14,899.6,-10.2,1990,1,14,14,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-15,909.4,9.8,1990,1,15,15,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-16,891.7,-17.7,1990,1,16,16,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-17,909.6,17.9,1990,1,17,17,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-18,903.0,-6.6,1990,1,18,18,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-19,908.6,5.6,1990,1,19,19,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-20,910.1,1.5,1990,1,20,20,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-21,898.1,-12.0,1990,1,21,21,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-22,911.2,13.0,1990,1,22,22,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-23,909.8,-1.3,1990,1,23,23,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-24,907.1,-2.7,1990,1,24,24,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-25,913.1,6.0,1990,1,25,25,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
