province,province_norm,H1,H2,E1,S1,F1,V1,risk_score,risk_level
Balıkesir,BALIKESIR,1,1,1,1,0,1,5,HIGH RISK
İzmir,IZMIR,1,1,1,1,0,1,5,HIGH RISK
Denizli,DENIZLI,1,1,1,1,0,1,5,HIGH RISK
Adana,ADANA,1,0,1,1,0,1,4,MODERATE RISK
Manisa,MANISA,1,0,1,1,0,1,4,MODERATE RISK
Kütahya,KUTAHYA,1,0,0,1,1,1,4,MODERATE RISK
Kahramanmaraş,K.MARAS,1,1,1,1,0,0,4,MODERATE RISK
Hatay,HATAY,1,1,1,1,0,0,4,MODERATE RISK
Düzce,DUZCE,1,1,1,1,0,0,4,MODERATE RISK
Muğla,MUGLA,1,1,0,1,0,1,4,MODERATE RISK
Antalya,ANTALYA,1,1,1,1,0,0,4,MODERATE RISK
İstanbul,ISTANBUL,0,1,1,1,0,1,4,MODERATE RISK
Rize,RIZE,0,0,1,1,0,1,3,MODERATE RISK
Aydın,AYDIN,0,0,1,1,0,1,3,MODERATE RISK
Giresun,GIRESUN,0,0,1,1,0,1,3,MODERATE RISK
Kocaeli,KOCAELI,0,1,1,1,0,0,3,MODERATE RISK
Unknown,UNKNOWN,1,1,1,0,0,0,3,MODERATE RISK
Mersin,MERSIN,0,0,1,1,0,1,3,MODERATE RISK
Elazığ,ELAZIG,1,1,1,0,0,0,3,MODERATE RISK
Edirne,EDIRNE,0,0,1,1,0,1,3,MODERATE RISK
Uşak,USAK,0,0,1,1,0,1,3,MODERATE RISK
Trabzon,TRABZON,0,0,1,1,0,1,3,MODERATE RISK
Ordu,ORDU,0,0,1,1,0,1,3,MODERATE RISK
Yalova,YALOVA,0,0,1,1,0,1,3,MODERATE RISK
Afyonkarahisar,AFYON,0,1,0,1,0,1,3,MODERATE RISK
Zonguldak,ZONGULDAK,0,0,1,1,0,1,3,MODERATE RISK
Çanakkale,CANAKKALE,1,0,0,1,0,1,3,MODERATE RISK
Bartın,BARTIN,0,0,1,1,0,1,3,MODERATE RISK
Karabük,KARABUK,0,0,1,0,0,1,2,LOW RISK
Kırklareli,KIRKLARELI,0,0,0,1,0,1,2,LOW RISK
Kırıkkale,KIRIKKALE,0,0,1,0,0,1,2,LOW RISK
Malatya,MALATYA,1,0,1,0,0,0,2,LOW RISK
Osmaniye,OSMANIYE,0,0,1,1,0,0,2,LOW RISK
Adıyaman,ADIYAMAN,1,0,1,0,0,0,2,LOW RISK
Sakarya,SAKARYA,0,0,1,1,0,0,2,LOW RISK
Samsun,SAMSUN,0,0,1,1,0,0,2,LOW RISK
Erzincan,ERZINCAN,1,1,0,0,0,0,2,LOW RISK
Amasya,AMASYA,0,0,1,0,0,1,2,LOW RISK
Sinop,SINOP,0,0,0,1,0,1,2,LOW RISK
Tekirdağ,TEKIRDAG,0,0,1,1,0,0,2,LOW RISK
Ankara,ANKARA,1,0,1,0,0,0,2,LOW RISK
Tokat,TOKAT,0,0,1,0,0,1,2,LOW RISK
Gaziantep,GAZIANTEP,0,1,1,0,0,0,2,LOW RISK
Bursa,BURSA,0,0,1,1,0,0,2,LOW RISK
Burdur,BURDUR,0,0,0,1,0,1,2,LOW RISK
Van,VAN,1,1,0,0,0,0,2,LOW RISK
Bingöl,BINGOL,1,1,0,0,0,0,2,LOW RISK
Tunceli,TUNCELI,0,1,0,0,0,0,1,LOW RISK
Şanlıurfa,SANLIURFA,0,0,1,0,0,0,1,LOW RISK
Nevşehir,NEVSEHIR,0,0,0,0,0,1,1,LOW RISK
Yozgat,YOZGAT,0,0,0,0,0,1,1,LOW RISK
Çorum,CORUM,0,0,0,0,0,1,1,LOW RISK
Kayseri,KAYSERI,0,0,1,0,0,0,1,LOW RISK
Mardin,MARDIN,0,0,1,0,0,0,1,LOW RISK
Bolu,BOLU,0,0,0,0,0,1,1,LOW RISK
Erzurum,ERZURUM,1,0,0,0,0,0,1,LOW RISK
Bitlis,BITLIS,0,0,1,0,0,0,1,LOW RISK
Bilecik,BILECIK,0,0,0,1,0,0,1,LOW RISK
Bayburt,BAYBURT,0,0,0,0,0,1,1,LOW RISK
Isparta,ISPARTA,0,0,0,0,0,1,1,LOW RISK
Batman,BATMAN,0,0,1,0,0,0,1,LOW RISK
Diyarbakır,DIYARBAKIR,0,0,1,0,0,0,1,LOW RISK
Karaman,KARAMAN,0,0,0,0,0,1,1,LOW RISK
Artvin,ARTVIN,0,0,0,0,0,1,1,LOW RISK
Kastamonu,KASTAMONU,0,0,0,0,0,1,1,LOW RISK
Kilis,KILIS,0,0,1,0,0,0,1,LOW RISK
Kırşehir,KIRSEHIR,0,0,0,0,0,1,1,LOW RISK
Çankırı,CANKIRI,0,0,0,0,0,0,0,LOW RISK
Ardahan,ARDAHAN,0,0,0,0,0,0,0,LOW RISK
Aksaray,AKSARAY,0,0,0,0,0,0,0,LOW RISK
Ağrı,AGRI,0,0,0,0,0,0,0,LOW RISK
Gümüşhane,GUMUSHANE,0,0,0,0,0,0,0,LOW RISK
Eskişehir,ESKISEHIR,0,0,0,0,0,0,0,LOW RISK
Muş,MUS,0,0,0,0,0,0,0,LOW RISK
Hakkari,HAKKARI,0,0,0,0,0,0,0,LOW RISK
Sivas,SIVAS,0,0,0,0,0,0,0,LOW RISK
Iğdır,IGDIR,0,0,0,0,0,0,0,LOW RISK
Siirt,SIIRT,0,0,0,0,0,0,0,LOW RISK
Kars,KARS,0,0,0,0,0,0,0,LOW RISK
Konya,KONYA,0,0,0,0,0,0,0,LOW RISK
Niğde,NIGDE,0,0,0,0,0,0,0,LOW RISK
Şırnak,SIRNAK,0,0,0,0,0,0,0,LOW RISK
