group1,group2,meandiff,p-adj,lower,upper,reject
100-200,200-500,-0.0149,0.0009,-0.0256,-0.0043,True
100-200,50-100,-0.0769,0.0,-0.0851,-0.0688,True
100-200,500-1000,-0.6094,0.0,-0.7268,-0.4921,True
100-200,<50,0.0267,0.0,0.0168,0.0365,True
100-200,>1000,-0.11,0.0,-0.1495,-0.0705,True
200-500,50-100,-0.062,0.0,-0.0707,-0.0533,True
200-500,500-1000,-0.5945,0.0,-0.7119,-0.4771,True
200-500,<50,0.0416,0.0,0.0313,0.052,True
200-500,>1000,-0.095,0.0,-0.1347,-0.0554,True
50-100,500-1000,-0.5325,0.0,-0.6497,-0.4153,True
50-100,<50,0.1036,0.0,0.0959,0.1114,True
50-100,>1000,-0.033,0.1521,-0.0721,0.006,False
500-1000,<50,0.6361,0.0,0.5188,0.7534,True
500-1000,>1000,0.4994,0.0,0.3761,0.6228,True
<50,>1000,-0.1367,0.0,-0.1761,-0.0972,True
