province,total_energy,pop_density,eq_count,max_mag,energy_normalized,pop_normalized,risk_score
Kahramanmaraş,3.844563080007239e+16,77.4231638418079,354,7.7,1.0,0.029780871320846072,0.029780871320846072
Kocaeli,7997327033580942.0,341.8689655172414,29,7.4,0.20801653834655986,0.13150012432276742,0.02735420065376434
İstanbul,210864869325990.75,2599.7615384615387,26,6.2,0.005484755092784008,1.0,0.005484755092784008
Düzce,4051822407242982.0,128.52727272727273,44,7.2,0.1053909722099124,0.04943810069723985,0.005210329496693656
İzmir,832541399153664.6,324.61496062992126,254,6.6,0.021655032882230585,0.12486335989954629,0.002703920164410467
Gaziantep,538166547379250.25,304.2290322580645,31,6.6,0.01399811984300273,0.11702189903082347,0.001638086566889232
Hatay,312782546296659.3,263.9046511627907,86,6.4,0.008135711127311516,0.10151109909832791,0.0008258649784798883
Elazığ,1115338499446170.5,66.50353982300885,113,6.8,0.029010799829146523,0.0255806306998309,0.0007421145567361146
Muğla,837144422609268.0,74.39601386481803,577,6.5,0.021774761011534544,0.028616476074510806,0.000623116927514769
Van,916803980456646.5,53.85896551724138,290,6.7,0.023846766495372998,0.02071688680690057,0.0004940307621952314
Erzincan,2039269941216763.0,22.974999999999998,88,7.0,0.05304295699611523,0.008837348987629041,0.00046875912231046966
Antalya,223584570001573.94,102.082,150,6.0,0.0058156041492536245,0.03926590900348848,0.00022835498332490287
Malatya,327803605936861.9,64.01501976284585,253,5.9,0.008526420274946942,0.02462341980823673,0.0002099496258914798
Balıkesir,220006978215917.75,85.37375886524823,141,6.1,0.005722548274991589,0.032839072969657775,0.000187923180374838
Denizli,164586624248086.94,78.13246753246753,77,6.0,0.004281022858071483,0.030053705455887307,0.00012866060002640118
Adana,80045516158910.23,149.7855072463768,69,5.9,0.0020820445520888554,0.05761509470403789,0.00011995719404662556
Bingöl,242696744657087.53,32.35959595959596,99,6.1,0.0063127262996197355,0.012447140047600443,7.857538833353736e-05
Ankara,42586652487489.516,177.31063829787234,47,5.6,0.001107711113102853,0.06820265461839223,7.554883846390868e-05
Afyonkarahisar,119001365160437.86,53.97948717948717,39,6.1,0.0030953157142687275,0.020763245544216574,6.42688002122337e-05
